"","B401","B402","B403","B405","B406","B407","B408","B409","B410","B411","B413","B414","B419","B421","B422","B423","B424","B425","B426","B427","B428","B429","B430","B431","B432","B433","B434","B435","B436","B437","B438","B439","B440","B442","B443","B444","B445","B446","B447","B448","B450","B451","B452","B454","B455","B457","B458","B459","B460","B461","B463","B464","B465","B467","B470","B471","B472","B473","B474","B477","B478","B479","B480","B481","B482","B483","B484","B485","B486","B487","B488","B489","B490","B492","B493","B494","B495","B498","B500","NEGCNTRL"
"6619c7d5e822e2f046de0c97089d73e0",4901,53595,5039,1029,80324,3923,12336,645,33182,280505,62950,57248,136295,7907,106503,53156,263249,164552,30170,4556,160116,159967,29137,90544,66250,164729,136604,95074,35094,67134,602985,8768,256846,162228,92947,3448,9959,74243,349443,137481,83996,31669,9691,30723,361832,35863,28119,183962,140627,164411,277433,977639,738710,86595,122470,17348,45970,41114,614128,818895,160193,33703,31343,6067,72510,35600,45900,130628,20264,431810,15798,93388,108749,194605,98948,3104,356228,34043,33332,17649
"52c3b44508b80d97ee56fba65834ba42",44568,22298,1478,81441,28838,1793,4668,1378,6725,114778,68779,623598,62854,599041,42536,46352,107522,22427,7109,10627,96443,10654,83467,50280,93314,435637,127292,37759,83246,11387,6062,156413,83536,24144,38311,49454,147549,3117,103081,27953,152648,14351,478770,20325,76287,12984,21078,58831,34277,17963,187970,158895,73252,93465,23401,19616,91539,11937,51145,23463,23175,8041,12131,66469,4821,79716,13633,49801,30658,14432,3219,99178,69861,105964,60503,24471,1486,54293,555014,6676
"f307f5dc57b712a6618900a516ada6f4",127,11972,2060,476,6963,22742,2011,2785,17544,4748,27486,21396,50651,7833,7687,96504,73185,30388,121660,22841,31160,61889,4341,14268,1048,11801,45689,54984,17759,175727,36977,4627,3338,35184,14176,24641,5146,14015,213224,10848,25719,208823,40587,2715,14644,23942,432474,3583,5622,182342,8836,29258,1215,22482,36954,641,893,7030,108301,16019,40890,401263,2094,85002,29568,4688,142613,9386,8575,113413,50561,3910,15296,2651,1326,23089,7236,4447,726,9291
"09437907c4268dc3414e844a0fae28e1",571,37414,11731,1680,29957,7102,17090,7528,7768,6602,45143,5724,52087,10581,29804,15739,8812,24931,78913,22716,89943,69563,25372,11258,13404,23612,16346,151955,130777,14443,11749,15965,110616,46231,46673,42736,9108,54841,16494,4436,12978,13679,26120,6524,67292,73814,28825,2051,25289,48037,106268,16786,5331,45753,30389,9418,4652,30190,102425,21980,28474,15473,5911,50128,9475,48808,7322,203709,5506,64184,35344,27679,12882,11684,5326,109746,8576,42505,1430,2774
"ea603e3cb94843daf3ccb369363d32da",5,248,9,146,5670,539,169,140,43,98,179475,9183,10976,6357,784,143,5042,5335,229936,1024,4149,597,849,2546,211,121,8540,8368,5886,127,609,1415,644,489,3860,234828,434,74455,3023,2970,527,1538,5385,90,2409,316926,2216,445,220,2697,2312,1815,154,22526,112,2255,89,185,3362,3124,2528,26409,677,16489,1254,812,6487,1639,476988,342,633989,1210,2397,300,200,253434,4949,10132,175,8646
"fdc26ede960399742fbe7cfe3d2884d2",410,9368,1525,1372,7398,2428,3538,1989,568,2690,21303,2113,12959,5915,8887,30533,3953,38255,18715,9237,22647,11160,24515,10268,7913,6025,3788,36485,12508,4046,6958,13233,24089,3769,10516,10022,23707,5598,7282,4491,2760,5777,48168,410,27648,11109,13557,1725,2892,9950,38428,7356,4609,3587,14373,8863,3010,6043,5184,16789,11959,8074,1622,7131,4460,19117,5852,12796,4142,9629,14427,16843,11239,9897,6465,6861,3571,11514,1595,4919
"7c2428ceac3cc436ebdb7cbbc51ff170",462,18943,2650,34,1131,955,0,73,13081,1637,28029,19930,184,1888,124,5750,99693,990,126,495,135917,30963,7527,8358,1069,3732,49673,417,4516,22511,5928,98,255,3168,5579,6349,146,1929,22288,3629,21946,6647,594,11093,312,1807,1679,3358,1290,23316,175,23195,2069,15819,8033,292,4476,18415,34816,428,2567,152,577,1309,2249,161,2158,741,7278,12036,59,168,11375,4680,1636,545,1109,594,586,1039
"e88172935cfa2b1a6469ead149795c90",8524,130,0,72,25,572,201,69,185,18,1405,1842,591,42272,1652,20,7571,2415,462,371,3586,6944,834,2079,5108,19,4150,1259,7167,997,11252,468,501,12293,4356,4070,334,30055,98092,9457,203,5467,480,40,36875,2413,2974,9145,726,11523,20404,715,7905,1619,35,968,16410,16,10309,3191,1783,515,11,4977,174490,630,3199,2066,694,11916,215,987,935,18954,6123,1759,11718,212,2226,1018
"ed210096eee65885f4e57b5f54a9b935",0,6837,187,97,4820,365,975,210,106,4140,197,244,19600,1369,7388,97853,459,12391,44681,1336,5116,965,741,324,3070,10270,2320,18964,2926,1132,998,857,619,15276,260,4751,698,979,871,119,377,775,12054,81,9540,142,3753,162,5833,1781,1166,561,179,231,14353,67,141,1521,576,7814,51049,155525,1499,34697,3440,1299,303,156,74,5184,18379,570,538,419,188,659,406,3582,81,53
"c6a74b68dee3e41aaa1e2a37ccc72a4e",0,0,0,0,43,0,0,0,124,11,112,14,10,12,0,0,13,7,72,0,0,3188,210,8,8,0,11,0,5,517,5342,44,292,6191,5,53,320,47022,0,8,0,0,2163,0,0,47,17,16,12,1444,101,0,4,34,0,189,0,0,4,0,9,14,151,14,15287,751,13,56,305,1901,250,98,0,0,0,8711,430273,45859,12,166
"6f699f78fb538b40faa38962fcbe74c4",44,10436,4082,271,4531,1193,3204,2129,46,1884,13905,423,14113,3959,5513,3985,1052,7043,33047,5527,6882,19563,2994,1569,694,3821,2537,17956,62378,343,1750,2656,56878,3150,1639,6743,2163,28857,2493,741,475,2315,4072,142,13523,17931,7173,291,4127,1841,13515,1225,518,322,5672,4636,206,9106,17147,5256,5086,4084,1211,5937,1548,4356,2055,25210,164,6174,6319,2452,1740,822,876,23126,1950,13122,275,925
"05fb630d8fe477535e2512b9c67a16ba",64,50,0,8,583,0,0,0,0,229,4708,2147,7761,101,0,109,1072,41,52,0,0,491,217,16743,9338,221,1938,60,22,65,963,22,303,7112,31932,0,324,757,307,65727,1355,103,942,162,0,18725,0,123053,1038,145,75,4812,2556,45667,65,8792,529,0,532,0,0,92,189,1009,4057,1211,23688,24895,2224,207,0,84,7596,1663,4721,0,293,386,9206,8059
"f0d2fc8b7c2eda0ccb733cbaa789d2bd",0,768,0,0,390,4342,115,0,3546,539,2727,4166,7905,0,883,16034,14262,4160,19068,40,0,12632,81,1221,0,1490,8591,7110,0,37062,7313,0,110,3308,765,0,167,2333,43477,270,3179,42166,3811,345,1737,341,57,0,433,37927,81,3635,0,3326,1180,0,69,246,19700,2163,0,64706,135,6842,4196,320,339,33,1532,17443,7525,66,1603,99,36,0,1228,354,0,160
"8f78dc37bfa14fc5bb39269b757ba08e",0,420,0,74,86,0,0,39,77,123,146,271,0,175,0,395,1056,0,0,175,997,3636,1511,8902,364,262,599,33,544,809,1908,547,770,849,4895,156,333,650,902,2171,5231,206,260,525,174,1452,887,172,102,4564,20319,145200,521,203,9170,32,83,135,55917,0,13359,0,25,178,685,276,1600,78,57,44628,0,11112,12573,408,901,63,316,104,160,740
"b377cfa75457289897bb52242367f21f",56,4124,1486,73,2168,766,3139,805,514,629,4563,546,15192,796,5833,3787,1331,10416,14076,3589,20400,22911,4530,1274,3117,1140,3266,11071,1445,1014,1651,482,10552,12514,5468,7513,1022,21018,2134,472,1046,1709,1784,433,11874,13170,3762,458,938,5169,2429,1695,960,793,4932,189,505,3168,8384,6170,3606,4006,647,3997,1465,24521,911,374,389,14689,3734,1862,1756,2065,1263,11623,911,4459,337,210
"8c34ebfbb88e909381c43f03eeed3cb3",22,3678,1430,118,6146,711,3492,1010,25,1271,1201,305,16498,980,5954,1676,643,4027,8244,3712,30890,5118,1047,1176,173,2148,1755,4912,1582,87,446,1083,43050,4707,4106,13244,690,463,1453,485,292,1291,1278,68,10493,27470,4366,124,3252,255,1357,752,110,9258,2216,1279,36,3378,19443,3801,2335,2325,1338,1285,1261,16566,596,21439,506,7088,1790,843,1266,197,245,15862,181,7703,67,487
"74edd20c8b8eb0601a76b6cb600e94b8",24,1492,246,8,2352,1858,837,954,29,170,5110,519,3753,651,1813,535,1575,7923,7387,2362,2253,612,2261,312,930,1195,1103,28411,21585,144,465,94,23474,9141,343,9463,755,9609,4090,159,93,3849,1408,18,4257,6606,2823,218,215,585,40916,303,318,439,567,678,158,1129,24215,3684,2172,3872,374,1656,1445,1662,772,32223,218,3739,4579,432,453,622,370,7231,993,523,108,180
"e863b1e10b1b7884ec120907d57cc5a2",22,4515,1868,233,3428,1125,2644,907,94,714,6796,449,3456,541,4820,1619,957,5059,24563,2370,1337,21972,3175,379,5146,1162,3852,5725,1071,505,754,1821,22637,4539,1030,7009,1179,19567,2369,122,56,2187,1528,20,12007,17639,2942,182,5320,11053,23528,267,293,642,2778,49,171,3931,1337,3850,1866,2503,620,354,1049,1733,278,5120,667,1066,4115,1622,368,470,599,166,680,681,134,124
"6791c9045caf51185f0f9310f4928c53",51,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,27,24402,76,0,0,0,0,0,0,55,0,0,15512,0,0,0,57,7460,80007,78,0,7965,39,4833,49,0,0,0,78,81542,243,0,0,0,619,35,0,0,0,0,0,0,0,0,4800,0,0,0,0,38,35001,556,143,0,0,0,0,2440
"5dd82ba4e25d11b694f786bb55157163",0,0,0,0,22,0,0,0,0,11,45,14,10,0,0,0,0,7,34,0,0,0,6,5985,70,8,15,11,0,0,17,0,0,17,10653,0,17,37,0,11495,605,0,30,105,0,29974,0,319,46,0,0,2071,27,50,0,76,4,0,0,0,0,71,9,50,67,61,185505,227,18,0,16,0,3057,0,52,0,9,16,67,11377
"1fd5048cd615b8cfa41a2169cf7d33d1",88,1303,85,23,2666,230,547,866,653,356,4062,600,1418,1628,1070,431,497,1961,4525,2336,2519,5185,395,761,887,1652,671,3424,3649,2452,1422,205,19579,2526,4409,2332,146,19947,607,270,1850,485,402,1000,4607,23232,3014,126,878,70741,965,2221,226,1899,451,49,486,886,4918,1290,2665,970,252,1408,571,6712,493,71,573,4219,380,537,924,519,178,17781,655,856,68,130
"e790f5bce5031a85245027fa84faa2d8",41,3788,1594,276,2456,723,379,1952,30,403,23453,1152,10698,1726,689,1315,1287,388,393,5452,3179,977,4489,267,268,1133,1923,456,34160,183,840,2296,1213,4617,134,9961,380,1923,1897,141,0,1523,513,0,1390,666,6090,251,282,937,24858,77,320,10886,2348,1583,394,3602,9376,503,3654,266,259,7790,1236,257,456,20625,1308,6947,638,1999,81,579,433,1532,1154,117,172,276
"0847c94dbe2943ce95e846a99818a925",38,1416,400,37,1976,122,581,1347,7,549,3476,73,1630,829,1273,653,152,3585,17987,3281,1707,516,2607,238,321,1393,232,3333,1694,54,309,342,723,5495,13332,6754,556,30697,285,40,109,268,1323,22,4533,66,3659,192,2073,382,7987,231,423,79,2102,810,183,944,160,1795,2236,1586,460,939,178,14155,44,8421,34,1508,1677,17503,369,1020,543,9707,104,805,160,41
"38d34403f11dbb7e1545eacf50ab8a05",0,2319,128,0,878,39,22,0,10,548,1943,3297,505,0,222,2179,4047,925,260,9,23,510,122,36,148,1400,51098,672,26,84,669,24,242,4961,27,24,253,13435,1226,31,8,309,8537,0,758,12756,17,67,420,1125,78,17,160,2339,51512,15,22,1024,1802,2816,46,242,257,0,556,669,8,47,872,4402,136,88,36,80,317,0,281,794,88,7
"15ef79a511fda492c1aafd972d1d3279",0,0,0,0,0,0,469,0,0,0,0,0,3974,111,3640,0,0,16608,2646,107,385,173,0,0,0,0,0,8994,273,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,15000,0,366,0,0,153,0,0,0,0,0,0,0,0,0,109194,5425,2976,0,73,0,0,0,0,0,1048,1309,0,94,0,0,0,0,0,0,0
"ec625fba9c2e6d6c1fc654003d7258f9",0,31,0,0,0,4908,7,0,0,0,2946,4706,0,0,28,17,16502,0,0,25,11,17,15,0,11,0,9698,0,0,33,7,0,0,7,8,0,0,0,48134,0,29,47912,0,0,29,0,0,0,0,29,35,31,11,3604,14,0,21,24,22659,13,0,0,0,0,7,0,0,0,1685,24,0,0,11,31,20,0,0,0,0,0
"d8a8e563c49e53717768419db91e52e5",76,766,61,167,21318,0,0,415,81,445,284,92,417,784,230,504,260,1470,10909,4042,2719,2367,3758,5182,329,488,209,731,1578,528,1607,1439,3433,1013,3614,1574,1433,1514,271,1795,1215,75,2239,164,940,3497,4525,386,873,2009,4060,4724,451,5791,488,444,601,477,474,762,2572,674,1095,831,2789,1437,1981,1258,145,2721,2436,4159,7561,920,453,5345,2620,2672,213,2021
"943fd90fab17f39813b267e00fdba585",0,0,0,0,0,0,0,0,4417,0,0,0,0,0,69,0,0,0,0,49,0,14326,0,863,0,0,0,0,0,44194,8306,57,0,3699,564,0,0,2480,0,199,2608,0,0,229,71,153,0,0,0,44509,0,2827,0,0,0,0,57,0,0,0,0,0,0,0,2856,0,152,0,0,19145,0,0,1215,78,0,0,1453,0,0,82
"32c3069124e878122f322d3d7aef5897",0,0,0,0,0,4372,0,0,0,0,2786,4097,0,0,34,0,14717,0,0,23,0,0,0,0,0,0,9048,0,0,40,0,0,0,0,0,0,0,0,45671,0,23,43556,0,0,45,0,72,0,0,0,17,24,0,3235,0,0,0,18,20704,0,19,0,0,0,0,0,0,0,1608,0,0,0,0,0,0,0,0,0,0,0
"3a25ee0e6cca84501735ae36a916bb68",43,283,0,25,1526,237,62,299,0,217,13369,787,1467,234,378,364,549,4842,5508,632,1042,5104,753,1517,250,295,1494,3296,3229,124,815,132,766,2692,859,3296,451,12137,571,417,4185,398,298,408,2348,725,755,232,322,433,450,4255,527,2274,184,2478,316,246,7933,1895,597,1294,177,1005,4773,289,792,18431,1163,492,5189,831,1814,1569,430,4368,684,3817,170,470
"063dded0a39f42e3755120c44e788709",11,2295,837,17,1871,433,224,370,0,368,1422,661,5194,195,579,744,745,1664,1273,688,266,3306,426,255,1435,650,865,19852,237,26,124,95,490,2884,16276,1039,229,46102,1085,65,75,929,135,9,1418,4454,724,60,747,217,562,236,187,1583,1088,47,88,1711,7085,945,530,561,292,763,49,158,107,62,669,97,454,315,415,606,193,363,322,4597,44,40
"74ef50a57872a1bbb90d1f7fa386c0d6",0,0,0,26,16,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,454,0,0,0,0,3,4,0,0,89,600,0,0,11,757,11,0,0,0,0,5419,0,0,0,0,0,0,0,262,0,0,0,0,37,0,0,0,0,0,0,39,0,0,1819,0,11,52,0,53,267,0,0,0,41,27,136271,0,41
"57868e3ed104f160ff58d80e721133b5",0,42,0,47,1667,0,15,0,45,0,1036,485,819,95,86,0,246,1042,3807,42,488,2613,479,0,48,17,2086,6415,209,322,4007,286,327,6226,11,47,337,10118,89,0,0,34,590,0,347,0,134,113,32,1101,1586,0,25,13915,16,336,16,12,131,423,132,584,77,87,51850,332,29,18993,455,1542,223,537,0,24,33,3377,3861,732,39,0
"1e6cdd363c65d2f97f5ac57745a8673d",0,0,0,65,14,0,0,0,0,24,0,0,0,24,0,0,0,0,0,0,0,28,7539,0,0,32,0,0,0,0,36,579,14595,50,0,0,71959,99,0,26,0,0,8035,0,0,0,0,30,522,0,2074,0,0,3254,8,0,0,0,0,0,0,0,12,0,82,28154,0,0,0,0,0,3315,0,0,0,0,36,3418,38,0
"1ffa485801e7c294b1466aa79187e7df",0,0,0,92,261,0,22,0,0,145,17,33,411,14,141,65,15,2021,236,0,0,0,7554,18,20,101,12,942,12,0,14,629,14440,39,13,0,74810,9,0,41,0,0,8373,0,466,0,0,54,281,0,2079,0,0,0,31,35,0,0,0,675,0,246,93,10,0,11059,0,108,0,0,130,3440,0,0,14,0,0,3521,46,0
"c374f3bb3a0a878c3bc31d668fb73733",0,0,0,0,6,3952,0,0,4,0,2297,3836,20,0,36,0,12952,26,118,0,0,0,0,20,0,0,7965,21,9,33,0,35,13,0,7,0,0,0,39096,0,20,37731,0,0,43,0,27,0,0,44,0,33,0,2764,0,0,19,0,17831,22,16,46,0,0,0,0,0,0,1442,19,361,19,15,36,0,0,0,0,0,0
"85bf030116b3e8a2518f892bed4a288f",0,4863,110,0,2242,0,0,0,0,3294,0,0,0,0,0,87256,0,0,0,0,0,0,8239,38,0,8447,0,0,0,0,0,88,497,0,0,0,257,0,0,0,0,0,173,0,0,0,0,0,2327,0,356,0,0,0,8123,0,0,1092,0,0,0,0,963,0,0,198,0,0,0,0,0,456,0,0,0,0,0,86,0,0
"bdb1fb31d1ac6cd27c373cf830db3f7d",24,2085,749,227,498,89,841,243,0,381,812,392,6677,287,1337,843,237,1541,5029,458,412,26,6051,182,136,641,363,2324,574,5,83,2099,30970,64,61,634,1057,676,240,87,11,240,1999,0,1753,5023,546,40,1326,14,8528,20,199,1164,931,13,149,1769,232,1123,919,901,255,299,201,2423,511,18832,358,20,560,2172,30,374,292,1217,234,693,53,220
"82a5debe5322e3c004232cb4aae446ce",45,2294,208,6,133,20,41,237,5427,217,260,55,700,239,162,635,36,1186,389,1465,502,7908,3,1104,208,402,85,1685,353,9114,2789,8,6,1438,674,5412,0,963,60,283,2909,42,2,1579,404,207,1526,75,159,46084,22,3048,418,84,1644,48,673,2201,27,537,729,505,51,464,1049,0,268,78,108,5641,180,5,1586,990,283,507,542,0,81,146
"a87eb5c4757532698ab8544921136785",0,0,0,39,0,0,0,0,0,31,0,23,24,12,0,0,0,0,11,0,0,126,6336,0,9,17,16,0,0,6,267,474,12200,2017,12,13,60607,228,0,23,0,0,6520,0,0,0,0,71,10,36,1697,0,0,12,0,11,0,0,0,0,0,10,0,13,241,14111,0,38,0,54,0,2705,0,0,0,0,76,2844,34,0
"ed47d7c6bf3a4f1865015786228f479f",146,4212,412,0,269,26,10,13,9050,356,3200,0,5,6,36,1245,18,9,0,18,6,5840,0,2232,266,744,15,9,5,15213,3765,0,0,1909,1428,0,0,1280,63,641,6241,38,0,3197,30,484,27,95,281,16003,24,6718,689,0,1956,43,1536,4062,35,18,12,5,128,0,1495,0,497,91,2,8169,0,0,3322,1578,532,0,814,0,111,276
"331d67d7dd5951495d7e7d66c7f5dce9",0,0,0,61,0,0,0,0,0,33,478,274,3163,0,8,14,114,112,108,0,13,119,6094,0,0,0,190,156,9,12,205,479,11855,276,0,0,60055,139,45,33,0,0,6751,0,22,0,0,0,0,54,1668,0,0,674,0,0,0,0,50,47,0,141,0,1084,436,8771,24,0,243,72,30,2681,0,0,0,0,59,2894,0,31
"5fa388ca6db15ceffbb137708479a67b",0,103,4,0,8,0,0,0,0,11,5646,10,0,65,0,517,5234,0,14,8,0,4335,1093,15,822,344,283,6,16387,8,10,0,15,10,20301,0,13,19043,0,23,6,0,132,0,0,3228,106,46,496,10,6,19,0,0,28,1484,0,76,5547,4,205,4,31,0,6,7148,49,8,8,2479,781,0,15,0,0,0,7,1497,0,11215
"6103006d221aa1f256b3859c1eddb8cd",0,85,0,20,2686,13,36,0,4,355,4115,1326,1357,170,224,239,739,2987,19638,18,81,7040,311,387,19,416,1318,1928,631,66,265,131,141,9989,430,8473,117,9148,229,157,0,59,700,0,747,435,34,55,950,158,199,61,12,13092,80,1283,18,42,423,1097,48,1767,330,1069,189,99,286,30,1805,220,4466,157,77,93,26,2020,742,295,7,132
