sampleID,read_count,Lactobacillus_crispatus,Lactobacillus_iners,Lactobacillus_jensenii,Lactobacillus_gasseri,g_Megasphaera,Prevotella_amnii,Streptococcus_anginosus,Prevotella_bivia,Gardnerella_vaginalis,Aerococcus_christensenii,Prevotella_buccalis,Streptococcus_mitis,o_Clostridiales,Ureaplasma_parvum,g_Corynebacterium,Lactobacillus_vaginalis,Clostridium_perfringens,g_Dialister,Finegoldia_magna,f_Enterobacteriaceae,Peptoniphilus_harei,f_Lachnospiraceae,Veillonella_montpellierensis,Staphylococcus_epidermidis,o_Gemellales,f_Rs-045,g_Prevotella,f_Rs-045.1,Staphylococcus_haemolyticus,g_Gemella,Prevotella_disiens,g_Peptoniphilus,g_Anaerococcus,Prevotella_corporis,Campylobacter_ureolyticus,g_Finegoldia,Dialister_propionicifaciens,f_Coriobacteriaceae,Lactobacillus_coleohominis,Corynebacterium_pyruviciproducens,g_Veillonella,Corynebacterium_kroppenstedtii,Actinomyces_neuii,Prevotella_oris,Fusobacterium_nucleatum_subsp._animalis,g_Lactobacillus,Propionimicrobium_lymphophilum,Anaerococcus_hydrogenalis,Corynebacterium_thomssenii_sundsvallense,WAL_1855D,g_Mobiluncus,Peptoniphilus_lacrimalis,Sneathia_amnii_[NVP],Porphyromonas_somerae,g_Proteus,g_Parvimonas,Porphyromonas_bennonis,Prevotella_denticola,Corynebacterium_aurimucosum_nigricans,Facklamia_miroungae,Anaerococcus_tetradius,g_Sutterella,Corynebacterium_tuscaniense,Anaeroglobus_geminatus,g_Varibaculum,Enterococcus_faecalis,Actinomyces_oris,Propionibacterium_acnes,Peptoniphilus_sp._oral_taxon_375,Corynebacterium_imitans_lipophiloflavum,Mobiluncus_curtisii,Facklamia_ignava,Campylobacter_hominis,Eubacterium_rectale,Bacteroides_coagulans,Fastidiosipila_sanguinis,Anaerococcus_octavius,Brevibacterium_ravenspurgense,g_ph2,Alloscardovia_omnicolens,Atopobium_sp._oral_taxon_810,Peptostreptococcus_anaerobius,Granulicatella_adiacens,Peptoniphilus_indolicus,Actinomyces_europaeus,Prevotella_bergensis,Atopobium_parvulum,Streptococcus_salivarius,Jonquetella_anthropi,g_Actinobaculum,g_Streptococcus.1,g_Veillonella.1,Dialister_invisus,g_1-68,Actinobaculum_massiliense,g_Moryella,Bifidobacterium_breve,o_Actinomycetales,Anaerococcus_lactolyticus,Porphyromonas_uenonis,g_Mogibacterium,g_Gallicola,Corynebacterium_urealyticum,Ruminococcaceae_[G-1]_sp._oral_taxon_075,Actinomyces_radingae,g_Pyramidobacter,g_Atopobium,Varibaculum_cambriense,Lactobacillus_reuteri,Fusobacterium_gonidiaformans,g_Porphyromonas,Actinomyces_turicensis,Collinsella_aerofaciens,g_Dermabacter,f_[Mogibacteriaceae],g_Acidaminococcus,Bacteroidetes_[G-7]_sp._oral_taxon_911,g_Fusobacterium,Prevotella_histicola,f_Neisseriaceae,g_Ruminococcus,g_Helcococcus,g_Staphylococcus,Corynebacterium_simulans_striatum,g_Ureaplasma,Aerococcus_urinae,[Eubacterium]_biforme,Staphylococcus_aureus,Streptococcus_pseudopneumoniae,g_Arcanobacterium,Parvimonas_micra,Streptococcus_parasanguinis_II,g_Streptococcus,Peptostreptococcus_stomatis,Prevotella_melaninogenica,f_S24-7,Actinomyces_urogenitalis,I-A_sim,I-B_sim,II_sim,III-A_sim,III-B_sim,IV-A_sim,IV-B_sim,IV-C0_sim,IV-C1_sim,IV-C2_sim,IV-C3_sim,IV-C4_sim,V_sim,subCST,score,CST
M400MVAG,8634,8579,3,4,4,0,0,0,1,0,0,0,0,0,0,0,0,42,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.998478424123299,0.8942792135359094,0.004434836702987737,0.0017765573370255388,0.09737508782720275,0.0012667756917081013,0.00968766024729562,0.039912770477242406,0.006184102232460743,0.026163988685541432,0.0024646108268893503,0.0065116526749776065,0.026056027332944896,I-A,0.998478424123299,I
M401MVAG,8634,41,11,5096,0,0,0,0,2275,2,2,0,666,0,493,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007813952690450729,0.03180613443373287,0.003912102321644252,0.015378463631470074,0.019166358450222947,0.0008396532806768939,0.007929447810985483,0.03459650164412466,0.0033943057801417314,0.004171604740178649,0.007212488561454359,0.009534896857314505,0.6746219509914314,V,0.6746219509914314,V
M402MVAG,8634,155,39,28,1,7694,0,20,0,624,0,0,33,0,16,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.010219557352349673,0.011459246858791535,0.004994955714698437,0.003393536738523156,0.01400753159099979,0.08271157808926338,0.06654817763834957,0.008904390140917337,0.0019017460826343206,0.0033119162576246775,0.00043871461598291223,0.003977949074185159,0.007507072817954116,IV-A,0.08271157808926338,IV-A
M403MVAG,8634,8221,136,107,0,0,0,0,0,0,0,0,38,7,28,2,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9995870081641965,0.9187046517962927,0.005039895621607969,0.010164477032684863,0.10824091718109732,0.0021213067970419805,0.011712859167300254,0.0428327930090183,0.006569211691684025,0.026790387234176642,0.0025278155122013374,0.008509621342233218,0.03517873328279181,I-A,0.9995870081641965,I
M404MVAG,8634,190,8404,16,0,0,0,0,5,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013945238858866275,0.05469556748019703,0.045827092414545745,0.9937019739952412,0.7964267858962633,0.05188228186839751,0.11168940837683605,0.07379842295808287,0.017450829038405953,0.012096346180799364,0.0009858875113069722,0.11980056919296747,0.23545240343774915,III-A,0.9937019739952412,III
M405MVAG,8634,8353,116,143,0,10,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9997051928083099,0.911082339454365,0.0049067062308722625,0.008875823166434751,0.10613985429532813,0.002047464448592153,0.011370098484697791,0.042034013532963654,0.006496999739698452,0.02662751049632821,0.0025165168042989502,0.00817214558302041,0.036124096832198034,I-A,0.9997051928083099,I
M406MVAG,8634,8203,3,359,0,0,0,0,0,0,0,0,6,0,7,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9986819698386464,0.9189261455752706,0.004407628459475523,0.002499619045124353,0.100055099773768,0.0013136284210959993,0.01013386301317638,0.041866009952492844,0.006339294875727434,0.026691865715102566,0.0025484064366939974,0.006912467220454982,0.04511251863747073,I-A,0.9986819698386464,I
M407MVAG,8634,7031,28,1345,100,0,0,0,0,0,0,0,40,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9487285541471752,0.9556299669170729,0.0119408288981895,0.00667714464476012,0.10829835614478557,0.001643255518305404,0.011904034718254358,0.048531694639815805,0.006927035337939802,0.027987216553113158,0.00285609193119862,0.008657441846218835,0.11969455092450318,I-B,0.9556299669170729,I
M408MVAG,8634,61,6,2256,4216,0,0,226,178,11,3,344,0,59,1,50,4,0,2,14,0,12,12,908,5,0,0,0,0,5,0,22,10,1,0,6,0,12,0,0,0,0,0,0,0,1,0,37,132,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,20,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008107560340437869,0.032401475012205916,0.7280551716541731,0.009964670171131357,0.013943758955573614,0.0012709730082071,0.006738917566771251,0.03178719918058713,0.010484666184461632,0.014102342839043784,0.005725072390950466,0.009390729730262408,0.29810465293085503,II,0.7280551716541731,II
M409MVAG,8634,42,19,20,2,0,0,48,2709,42,4527,0,22,0,13,0,0,0,451,0,0,0,11,0,0,0,0,0,0,0,583,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0037656326100775172,0.00583693779413387,0.002463235209151428,0.00197958052647227,0.005104473340748873,0.004396605592907584,0.010687318124838415,0.037022987230009866,0.004305163627763864,0.0015882454952373816,0.008160740042932674,0.005471705898365221,0.004848698122085492,IV-C0,0.037022987230009866,IV-C
